,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
89,MSI 모던시리즈 모던15 A11M-i7 카본 그레이 16GB램,"759,040",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),Iris Xe,○,○,52Wh,65W,16.9mm,1.6kg,총4개,○,
90,에이서 스위프트 3 SF314-43 R5 씬스틸러2,"678,180",35.56cm(14인치),라이젠5-4세대,리눅스,16:9,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),Radeon Graphics,,○,48Wh,65W,15.95mm,1.2kg,총3개,○,
91,삼성전자 갤럭시북2 프로 NT950XEW-A51A WIN11,"1,443,490",39.6cm(15.6인치),코어i5-12세대,윈도우11(설치),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,68Wh,65W,11.7mm,1.11kg,총3개,○,
92,LG전자 2021 그램17 17ZD90P-GX7TK WIN10,"1,518,990",43.1cm(17인치),코어i7-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
93,MSI GE시리즈 레이더 GE76 12UGS-i9 디럭스 에디션 W11,"3,280,000",43.9cm(17.3인치),코어i9-12세대,윈도우11홈,16:9,○,DDR5,16GB,1TB,M.2(NVMe),RTX3070 Ti,○,,99.9Wh,280W,25.9mm,2.9kg,총5개,○,
94,LG전자 2022 그램16 16ZD95P-GX56K WIN10,"1,402,780",40.6cm(16인치),코어i5-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
95,삼성전자 갤럭시북2 프로 NT950XEE-XC71G,"1,978,990",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Arc A350M,○,,68Wh,65W,13.3mm,1.17kg,총3개,○,
96,ASUS 젠북 UX325EA-KG354,"1,049,000",33.78cm(13.3인치),코어i7-11세대,미포함(프리도스),16:9,,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,○,67Wh,65W,13.9mm,1.14kg,총3개,○,
97,ASUS TUF Gaming F17 FX707ZC-HX035 WIN11 16GB램,"1,451,050",43.94cm(17.3인치),코어i7-12세대,윈도우11(설치),16:9,,DDR5,16GB,512GB,M.2(NVMe),RTX3050,,○,56Wh,200W,25.4mm,2.6kg,총4개,○,
98,삼성전자 노트북 플러스2 NT550XDA-K24A,"568,990",39.6cm(15.6인치),펜티엄 골드,윈도우10 프로,16:9,○,DDR4,4GB,128GB,M.2(NVMe),UHD Graphics,○,,43Wh,40W,18.8mm,1.81kg,총3개,○,
99,ASUS TUF Gaming F15 FX506LH-HN004,"849,000",39.62cm(15.6인치),코어i5-10세대,미포함(프리도스),16:9,,DDR4,8GB,512GB,M.2(NVMe),GTX1650,,○,48Wh,150W,24.9mm,2.3kg,총4개,○,
100,APPLE 2021 맥북프로14 MKGQ3KH/A,"3,091,190",35.97cm(14.2인치),실리콘 M1 PRO,macOS Monterey,,,,16GB,1TB,SSD,M1 PRO 16 core,○,,70Wh,96W,15.5mm,1.6kg,총3개,○,
101,APPLE 2020 맥북프로13 MYD82KH/A,"1,595,320",33.78cm(13.3인치),실리콘 M1,macOS Big Sur,16:10,,,8GB,256GB,SSD,M1 8 core,,○,58.2Wh,61W,15.6mm,1.4kg,총2개,○,
102,LG전자 2021 그램16 16ZD90P-GX7TK WIN10,"1,577,810",40.6cm(16인치),코어i7-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
103,MSI GF시리즈 Sword GF66 A11SC-i5 블랙,"898,740",39.62cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),GTX1650,○,○,53Wh,150W,24.9mm,2.25kg,총4개,○,
104,APPLE 2021 맥북프로14 MKGR3KH/A,"2,584,000",35.97cm(14.2인치),실리콘 M1 PRO,macOS Monterey,,,,16GB,512GB,SSD,M1 PRO 14 core,○,,70Wh,67W,15.5mm,1.6kg,총3개,○,
105,삼성전자 노트북 플러스2 NT550XDZ-AD5A WIN11 16GB램,"807,700",39.6cm(15.6인치),코어i5-11세대,윈도우11(설치),16:9,○,DDR4,16GB,256GB,M.2(NVMe),Iris Xe,○,,43Wh,40W,18.8mm,1.81kg,총3개,○,
106,레노버 LEGION 5i Pro 16ITH I7 STORM 3060 W11P,"1,869,000",40.6cm(16인치),코어i7-11세대,윈도우11프로,16:10,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,,○,80Wh,,21.7mm,2.6kg,총6개,○,
107,HP 빅터스 16-e0143AX WIN10 16GB램,"1,690,000",40.89cm(16.1인치),라이젠7-4세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),RTX3050 Ti,,,70Wh,200W,23.5mm,2.46kg,총4개,○,
108,ASUS 비보북 프로 15 K3500PA-11525D,"557,290",39.62cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),Iris Xe,○,○,50Wh,65W,19.9mm,1.65kg,총4개,○,
109,MSI GP시리즈 Vector GP76 12UGS QHD 32GB램,"2,750,000",43.9cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,32GB,1TB,M.2(NVMe),RTX3070 Ti,○,○,65Wh,280W,25.9mm,2.9kg,총4개,○,
110,HP Z북 Firefly 14 G8-W0DRAV,"1,889,000",35.6cm(14인치),코어i7-11세대,윈도우10 프로,16:9,○,DDR4,16GB,512GB,M.2(NVMe),쿼드로 T500,,○,53Wh,65W,17.9mm,1.35kg,총4개,,○
111,주연테크 아이언2 J6LS,"849,000",39.62cm(15.6인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),Radeon Graphics,○,○,49Wh,65W,19.9mm,1.59kg,총3개,○,
112,삼성전자 노트북 플러스2 NT550XDZ-AD3A,"598,000",39.6cm(15.6인치),코어i3-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),UHD Graphics,○,,43Wh,40W,18.8mm,1.81kg,총3개,○,
113,한성컴퓨터 TFG7275T,"1,559,000",43.94cm(17.3인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),RTX3050 Ti,,○,53.35Wh,150W,28mm,2.6kg,총4개,○,
114,Razer BLADE PRO 17 11Gen R3060 QHD,"3,179,990",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,,DDR4,16GB,1TB,M.2(NVMe),RTX3060,,,70.5Wh,230W,19.9mm,2.75kg,총5개,,○
115,레노버 게이밍 3i 15IHU i5 3050Ti,"947,000",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),RTX3050 Ti,,○,45Wh,,24.3mm,2.2kg,총3개,○,
116,GIGABYTE G7 GD Gen11 i5 W11,"1,450,000",43.18cm(17인치),코어i5-11세대,윈도우11홈,16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX3050,,,49Wh,150W,29.5mm,2.5kg,총4개,○,
117,LG전자 2021 울트라PC 15UD50P-GX50K WIN10 16GB램,"857,800",39.6cm(15.6인치),코어i5-11세대,윈도우10,16:9,,DDR4,16GB,256GB,M.2(NVMe),Iris Xe,○,○,51Wh,65W,19.9mm,1.8kg,총3개,○,
118,MSI GP시리즈 GP76 Leopard 11UG,"1,708,000",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3070,○,○,65Wh,280W,25.9mm,2.9kg,총3개,○,
119,MSI GS시리즈 Stealth GS66 12UGS QHD WIN10,"3,410,000",39.6cm(15.6인치),코어i7-12세대,윈도우10,16:9,○,DDR5,32GB,1TB,M.2(NVMe),RTX3070 Ti,○,○,99.9Wh,240W,19.8mm,2.1kg,총5개,○,
120,MSI Stealth 15M B12UE WIN11 64GB램,"2,250,000",39.6cm(15.6인치),코어i7-12세대,윈도우11(설치),16:9,○,DDR4,64GB,512GB,M.2(NVMe),RTX3060,○,○,53.8Wh,180W,17mm,1.8kg,총4개,○,
121,삼성전자 갤럭시북 프로360 NT950QDY-A51A,"1,275,000",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,,○,68Wh,65W,11.9mm,1.39kg,총3개,○,
122,MSI GP시리즈 GP76 Leopard 11UH WIN10,"2,428,950",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,1TB,M.2(NVMe),RTX3080,○,○,65Wh,280W,25.9mm,2.9kg,총3개,○,
123,레노버 V15 G2 82KD000WKR,"598,860",39.62cm(15.6인치),라이젠5-4세대,윈도우10,16:9,,DDR4,4GB,256GB,M.2(NVMe),Radeon Graphics,○,○,38Wh,,19.9mm,1.7kg,총3개,,○
124,레노버 아이디어패드 Slim5-15ITL Premiere Plus i5,"829,000",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,16GB,256GB,M.2(NVMe),MX450,○,○,57Wh,65W,19.9mm,1.69kg,총3개,,○
125,레노버 아이디어패드 Slim3-15ITL 5D WIN10,"601,710",39.62cm(15.6인치),코어i5-11세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,,,19.9mm,1.65kg,총3개,,○
126,LG전자 2022 울트라PC 15UD40Q-GX50K WIN10 16GB램,"836,620",39.6cm(15.6인치),라이젠5-4세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),Radeon Graphics,○,○,49Wh,65W,19.1mm,1.75kg,총3개,○,
127,삼성전자 노트북 플러스2 NT550XDZ-AD5A WIN10 16GB램,"784,790",39.6cm(15.6인치),코어i5-11세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),Iris Xe,○,,43Wh,40W,18.8mm,1.81kg,총3개,○,
128,DELL XPS 17 9720-WP06KR,"4,350,000",43.2cm(17인치),코어i9-12세대,윈도우11프로,16:10,○,DDR5,32GB,1TB,M.2(NVMe),RTX3060,,○,97Wh,130W,19.5mm,2.21kg,총4개,,○
129,MSI 모던시리즈 모던14 B11M-i5 카본 그레이,"598,990",35.56cm(14인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),,○,○,39Wh,65W,16.9mm,1.3kg,총3개,○,
130,LG전자 2021 울트라PC 15UD50P-GX50K,"791,880",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,○,51Wh,65W,19.9mm,1.8kg,총3개,○,
131,ASUS 비보북 프로 16X OLED M7600QE-L2081,"1,440,000",40.8cm(16인치),라이젠9-4세대,미포함(프리도스),16:10,,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,96Wh,120W,18.9mm,1.95kg,총4개,○,
132,MSI GF시리즈 Sword GF76 A11UE 블랙,"1,530,000",43.94cm(17.3인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
133,삼성전자 갤럭시북2 프로 NT930XEW-A51A,"1,399,000",33.7cm(13.3인치),코어i5-12세대,미포함(프리도스),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,63Wh,65W,11.2mm,870g,총3개,○,
134,삼성전자 갤럭시북2 프로360 NT950QED-KC51S,"1,850,690",39.6cm(15.6인치),코어i5-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,,,68Wh,65W,11.9mm,1.41kg,총3개,○,
135,ASUS 비보북 S 16X S5602ZA-L2066,"1,230,000",40.8cm(16인치),코어i5-12세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),Iris Xe,,○,70Wh,90W,17.9mm,1.8kg,총4개,○,
136,MSI GF시리즈 Sword GF76 A11UC 블랙 WIN10 16GB램,"1,318,990",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050,○,○,53.5Wh,150W,25.2mm,2.6kg,총4개,○,
137,LG전자 2022 그램16 16ZD95P-GX5BK WIN10,"1,237,410",40.6cm(16인치),코어i5-11세대,윈도우10,16:10,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
138,레노버 V15 ADA 82C700KPKR,"379,000",39.6cm(15.6인치),라이젠3-2세대,미포함(프리도스),16:9,,DDR4,4GB,256GB,M.2(NVMe),Radeon Graphics,○,,35Wh,,19.9mm,1.85kg,총3개,,○
139,한성컴퓨터 TFG7277LC,"2,749,000",43.94cm(17.3인치),코어i9-12세대,미포함(프리도스),16:9,○,DDR5,16GB,500GB,M.2(NVMe),RTX3070 Ti,,○,62.32Wh,280W,25mm,2.5kg,총4개,○,
140,MSI 모던시리즈 모던15 A11M-i5 카본 그레이,"598,990",39.62cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),Iris Xe,○,○,52Wh,65W,16.9mm,1.6kg,총4개,○,
141,삼성전자 갤럭시북2 프로 NT950XEV-G51A,"1,664,990",39.6cm(15.6인치),코어i5-12세대,미포함(프리도스),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Arc A350M,○,,68Wh,65W,13.3mm,1.17kg,총3개,○,
142,MSI GF시리즈 Sword GF76 A12UE WIN10 32GB램,"2,100,000",43.9cm(17.3인치),코어i7-12세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,240W,25.2mm,2.6kg,총4개,○,
143,HP 오멘 16-b1031TX,"2,180,000",40.9cm(16.1인치),코어i7-12세대,윈도우11홈,16:9,○,DDR5,16GB,512GB,M.2(NVMe),RTX3070,,○,83Wh,230W,23mm,2.3kg,총4개,○,
144,MSI GF시리즈 Sword GF66 A12UGS 블랙 32GB램,"1,950,000",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070 Ti,○,○,53.5Wh,240W,24.9mm,2.25kg,총4개,○,
145,레노버 LEGION 5 Pro 16ACH R7 STORM 3070,"1,889,000",40.6cm(16인치),라이젠7-4세대,미포함(프리도스),16:10,○,DDR4,32GB,512GB,M.2(NVMe),RTX3070,,○,80Wh,,21.7mm,2.59kg,총6개,○,
146,ASUS 젠북 14 UM3402YA-KP095W,"1,313,000",35.56cm(14인치),라이젠7-4세대,윈도우11홈,16:10,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Radeon Graphics,,○,75Wh,65W,16.9mm,1.39kg,총3개,○,
147,MSI GF시리즈 GF63 Thin 11UC WIN10 32GB램,"1,350,000",39.6cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3050,○,○,51Wh,120W,21.7mm,1.77kg,총4개,○,
148,주연테크 리오나인 젠 L6CF35T,"799,000",39.62cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,,○,41Wh,150W,24.9mm,2.2kg,총4개,○,
149,LG전자 2022 그램15 15ZD95P-GX76K WIN10,"1,400,200",39.6cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.4mm,1.12kg,총4개,○,
150,LG전자 2022 그램14 14ZD95P-GX5BK WIN10,"1,227,320",35.6cm(14인치),코어i5-11세대,윈도우10,16:10,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),Iris Xe,○,○,72Wh,65W,16.8mm,999g,총4개,○,
151,MSI 모던시리즈 모던14 B5M-R7 16GB램,"761,390",35.56cm(14인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
152,ASUS ROG STRIX G15 G513RM-HQ077 16GB램,"1,680,000",39.62cm(15.6인치),라이젠7-5세대,미포함(프리도스),16:9,,DDR5,16GB,512GB,M.2(NVMe),RTX3060,,,90Wh,240W,27.2mm,2.3kg,총4개,○,
153,DELL XPS 15 9520-WP05KR,"3,320,000",39.62cm(15.6인치),코어i7-12세대,윈도우11프로,16:10,○,DDR5,16GB,1TB,M.2(NVMe),RTX3050 Ti,,○,86Wh,130W,18mm,1.81kg,총3개,,○
154,LG전자 2022 울트라PC 15UD40Q-GX30K WIN10 16GB램,"616,800",39.6cm(15.6인치),라이젠3-4세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),Radeon Graphics,○,○,49Wh,65W,19.1mm,1.75kg,총3개,○,
155,HP 파빌리온 Aero 13-be1046AU,"880,000",33.8cm(13.3인치),라이젠5-4세대,미포함(프리도스),16:10,○,DDR4(온보드),16GB,256GB,M.2(NVMe),Radeon Graphics,,○,43Wh,45W,16.9mm,970g,총3개,,○
156,HP 오멘 16-b1033TX,"2,480,000",40.9cm(16.1인치),코어i7-12세대,윈도우11홈,16:9,○,DDR5,16GB,1TB,M.2(NVMe),RTX3070 Ti,,○,83Wh,230W,23mm,2.3kg,총4개,○,
157,LG전자 2022 그램16(12세대) 16ZD90Q-GX76K,"2,049,000",40.6cm(16인치),코어i7-12세대,미포함(프리도스),16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,80Wh,65W,16.8mm,1.199kg,총4개,○,
158,LG전자 2022 울트라PC 13UD70Q-GX50K WIN10,"827,200",33.7cm(13.3인치),라이젠5-4세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,51Wh,65W,15.3mm,980g,총3개,○,
159,ASUS TUF Dash F15 FX517ZM-HQ076,"1,840,000",39.62cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3060,,○,76Wh,200W,20.7mm,2kg,총4개,○,
160,ASUS 비보북 X515MA-BQ410,"278,990",39.62cm(15.6인치),셀러론,미포함(프리도스),16:9,,DDR4,4GB,128GB,M.2(NVMe),UHD 600,○,,37Wh,45W,19.9mm,1.8kg,총4개,○,
161,삼성전자 갤럭시북 프로 NT950XDC-X71A,"1,698,990",39.6cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),MX450,○,○,68Wh,65W,13.3mm,1.15kg,총3개,○,
162,MSI GF시리즈 Sword GF76 A11UE 블랙 WIN10,"1,468,280",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
163,LG전자 2022 그램16(12세대) 16Z90Q-EA7WK,"2,315,690",40.6cm(16인치),코어i7-12세대,윈도우11홈,16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),RTX2050,○,,90Wh,65W,16.8mm,1.285kg,총4개,○,
164,MSI GF시리즈 Sword GF66 A11SC-i7 블랙 WIN10 16GB램,"1,149,080",39.62cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,16GB,512GB,M.2(NVMe),GTX1650,○,○,53.5Wh,150W,24.9mm,2.25kg,총4개,○,
165,LG전자 2022 그램14 14Z95P-GA56K,"1,494,990",35.6cm(14인치),코어i5-11세대,윈도우11홈,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,72Wh,65W,16.8mm,999g,총4개,○,
166,삼성전자 노트북 플러스2 NT560XDZ-G78A,"1,469,000",39.6cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),GTX1650 Ti,○,,43Wh,90W,18.9mm,1.85kg,총3개,○,
167,HP 14s-dq2573TU 8GB램,"453,710",35.6cm(14인치),코어i3-11세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),UHD Graphics,○,○,,45W,17.9mm,1.43kg,총3개,,○
168,LG전자 2022 그램17 17ZD95P-GX76K WIN11,"1,562,900",43.1cm(17인치),코어i7-11세대,윈도우11(설치),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
169,MSI GF시리즈 Sword GF76 A11UE 화이트 WIN10 32GB램,"1,547,250",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
170,MSI 프레스티지 15 A12UC,"1,578,000",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,LPDDR4(온보드),16GB,512GB,M.2(NVMe),RTX3050,○,○,82Wh,100W,18.9mm,1.69kg,총4개,○,
171,삼성전자 갤럭시북2 프로360 NT950QED-KC71D,"2,171,390",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,,68Wh,65W,11.9mm,1.41kg,총3개,○,
172,레노버 아이디어패드 Slim3-17ALC R5 WIN10,"688,990",43.94cm(17.3인치),라이젠5-4세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,38Wh,,19.9mm,2.1kg,총3개,,○
173,Razer BLADE 14 R9 Zen4 R3070Ti QHD,"3,639,000",35.56cm(14인치),라이젠9-5세대,윈도우11홈,16:9,,DDR5(온보드),16GB,1TB,M.2(NVMe),RTX3070 Ti,,,61.6Wh,230W,16.8mm,1.78kg,총4개,,○
174,MSI 크리에이터 M16 A12UC,"1,400,000",40.6cm(16인치),코어i7-12세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050,○,○,53.5Wh,180W,23.95mm,2.26kg,총4개,○,
175,레노버 요가 Slim7 Carbon 14ACN6 82L00055KR,"1,400,000",35.56cm(14인치),라이젠5-4세대,미포함(프리도스),16:10,,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),MX450,,○,61Wh,,14.9mm,1.09kg,총3개,,○
176,HP 14s-dq2573TU WIN10 8GB램,"507,720",35.6cm(14인치),코어i3-11세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),UHD Graphics,○,○,,45W,17.9mm,1.43kg,총3개,,○
177,LG전자 2022 그램17 17Z95P-GA56K,"1,690,000",43.1cm(17인치),코어i5-11세대,윈도우11홈,16:10,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
